shap,sofi,GAMINet
number_vmail_messages,international_plan,number_vmail_messages
number_customer_service_calls,total_intl_charge,number_customer_service_calls
total_day_charge,area_code,total_day_charge
total_night_minutes,total_night_charge,total_eve_minutes
voice_mail_plan,state,state
international_plan,total_eve_charge,total_night_minutes
total_day_minutes,total_night_calls,total_eve_charge
total_night_charge,total_day_minutes,phone_number
total_intl_calls,total_night_minutes,international_plan
total_night_calls,total_eve_calls,total_intl_calls
total_eve_charge,account_length,total_intl_minutes
account_length,number_customer_service_calls,total_day_minutes
total_eve_minutes,total_intl_calls,total_eve_calls
phone_number,total_intl_minutes,total_intl_charge
total_eve_calls,total_eve_minutes,total_night_calls
state,phone_number,voice_mail_plan
total_intl_minutes,number_vmail_messages,account_length
total_day_calls,voice_mail_plan,total_night_charge
total_intl_charge,total_day_charge,total_day_calls
area_code,total_day_calls,area_code
