shap,sofi,GAMINet
number_vmail_messages,number_customer_service_calls,state
number_customer_service_calls,total_intl_charge,total_night_charge
state,international_plan,total_night_minutes
voice_mail_plan,total_intl_minutes,number_customer_service_calls
international_plan,total_eve_charge,phone_number
total_day_charge,total_night_calls,international_plan
total_eve_minutes,state,total_day_charge
total_night_charge,phone_number,total_eve_minutes
total_day_minutes,total_intl_calls,total_day_minutes
phone_number,total_eve_minutes,total_day_calls
total_eve_calls,total_day_minutes,number_vmail_messages
total_eve_charge,voice_mail_plan,total_intl_charge
account_length,total_day_charge,total_intl_calls
total_day_calls,account_length,total_eve_calls
total_night_minutes,total_night_charge,account_length
total_intl_calls,total_night_minutes,voice_mail_plan
total_intl_charge,total_eve_calls,total_eve_charge
total_intl_minutes,area_code,total_intl_minutes
total_night_calls,total_day_calls,total_night_calls
area_code,number_vmail_messages,area_code
