shap,sofi,GAMINet
number_vmail_messages,voice_mail_plan,total_intl_charge
number_customer_service_calls,total_intl_charge,total_eve_minutes
total_intl_charge,total_intl_minutes,number_customer_service_calls
total_day_charge,total_night_calls,total_eve_charge
voice_mail_plan,total_eve_calls,international_plan
international_plan,international_plan,total_intl_minutes
total_day_minutes,state,total_day_charge
total_eve_minutes,phone_number,number_vmail_messages
phone_number,total_intl_calls,total_day_minutes
total_intl_minutes,total_eve_charge,phone_number
total_night_minutes,account_length,total_night_minutes
total_eve_charge,number_customer_service_calls,total_intl_calls
total_intl_calls,total_night_minutes,total_day_calls
total_day_calls,total_night_charge,state
total_night_charge,total_eve_minutes,total_night_charge
state,total_day_minutes,voice_mail_plan
total_night_calls,total_day_charge,total_eve_calls
total_eve_calls,area_code,account_length
account_length,total_day_calls,total_night_calls
area_code,number_vmail_messages,area_code
