shap,sofi,GAMINet
a2sx,a2rho,a2pop
a3sy,b2y,a1pop
a2sy,a1pop,mxql
temp,a3sy,a2sx
a3sx,b1x,b1eff
a2rho,a1sx,a3sx
a1sx,b1eff,a3pop
a2cy,temp,a2rho
a1pop,a1cy,temp
a3cx,a2pop,b3call
mxql,a2cx,a3sy
b1eff,a3cx,a2cy
a2pop,b1y,a2sy
a1sy,b3y,a1sy
b3x,a1rho,b3x
b3eff,a1sy,b1call
b1y,b2eff,a3cx
b2call,b2x,b2y
b1x,a2cy,b3eff
a3pop,b3eff,a1sx
b2y,b3call,a1cy
b3call,mxql,b1y
a1rho,a2sy,b1x
a1cx,b1call,a3rho
a1cy,a3sx,b2x
b1call,b3x,a1cx
b3y,b2call,a1rho
b2x,a2sx,a3cy
b2eff,a3pop,a2cx
a3cy,a3rho,b2call
a2cx,a3cy,b3y
a3rho,a1cx,b2eff
