shap,sofi,GAMINet
a2sx,a3sx,a2pop
temp,b1x,a1pop
a2sy,a1sx,mxql
a3sx,a3sy,a2sx
a1sx,b3x,b1eff
b1eff,a3cy,temp
a3sy,mxql,b3call
a2cy,a2cy,a3pop
a2rho,a1cy,a3sx
a1pop,a1pop,a2sy
b1y,a2pop,a1sy
mxql,a1cx,b2y
a2pop,b1y,a2rho
a1sy,b2y,a3sy
b1x,a2sx,b3x
a3cx,a3cx,a2cy
b2y,b2x,a1sx
b3x,b3call,b1y
b3call,a2sy,b3eff
b2call,b2eff,b1call
a3pop,b3y,a1cy
b3eff,b3eff,a3cx
b2x,a1rho,b1x
a1cx,b1eff,a1cx
a1cy,a1sy,a3rho
b3y,b2call,a3cy
b1call,b1call,b2x
a3rho,a2rho,b3y
a1rho,a3rho,a1rho
a2cx,temp,a2cx
b2eff,a3pop,b2eff
a3cy,a2cx,b2call
