shap,sofi,GAMINet
a2sx,a2rho,a2pop
a2sy,b1eff,mxql
mxql,a1pop,a1pop
a2cy,a3pop,a2sx
temp,b2y,b3call
a3sy,a2pop,a2rho
a1sx,b3x,temp
a2rho,a2cx,a3sx
a1pop,a2sx,a2sy
a3sx,a1rho,b1eff
a1sy,b2x,a3pop
b2call,a3cy,a3sy
a2pop,b3y,a1sy
b3eff,a3sx,a2cy
b1eff,a1sy,b3x
b3x,a2cy,b1call
a3pop,b1x,b2y
b1y,temp,a1sx
b1x,b1y,b3eff
b3call,b3eff,b1x
b1call,a2sy,a1cy
b2y,b2eff,b1y
a3cx,a3sy,a3cy
a1cx,b1call,a1cx
a3rho,a1cy,a3rho
a1rho,b3call,a3cx
a1cy,b2call,b2x
b2x,a1sx,b2eff
b2eff,mxql,b2call
a2cx,a3rho,b3y
a3cy,a3cx,a2cx
b3y,a1cx,a1rho
