shap,sofi,GAMINet
a2sx,a3pop,a2pop
a2rho,b1x,mxql
a2sy,a1sx,a1pop
temp,a2sy,b1eff
a3sx,a3sy,a2sx
a3sy,a3cx,b3call
b1eff,mxql,a3pop
a1sx,temp,a3sx
mxql,a1cy,temp
a2pop,a2sx,a2rho
b2y,a2cy,a3sy
a3cx,a2pop,b3x
a1sy,a1pop,b2y
a1pop,b1y,a2sy
b2call,b1call,a1sy
a2cy,a2cx,a2cy
b1y,b3x,b3eff
b1x,b3call,b1call
b3call,b1eff,b1x
b3eff,b3eff,a1cx
a3pop,b3y,b1y
a1cx,b2x,a1sx
b3x,a2rho,b2x
b2x,b2call,a3cx
b2eff,a1sy,a3rho
b1call,a3sx,a1cy
a2cx,b2y,b2eff
a1rho,a1rho,a3cy
a1cy,b2eff,a1rho
b3y,a3rho,a2cx
a3cy,a3cy,b2call
a3rho,a1cx,b3y
