shap,sofi,GAMINet
PageValues,ExitRates,PageValues
Month,Administrative_Duration,Month
Administrative_Duration,ProductRelated_Duration,ExitRates
ExitRates,TrafficType,BounceRates
Administrative,Browser,ProductRelated_Duration
ProductRelated_Duration,Region,Region
TrafficType,BounceRates,TrafficType
BounceRates,SpecialDay,Weekend
ProductRelated,Informational_Duration,ProductRelated
Region,VisitorType,Administrative
OperatingSystems,Month,SpecialDay
Informational,OperatingSystems,OperatingSystems
Browser,Weekend,Administrative_Duration
Informational_Duration,Administrative,Informational
Weekend,PageValues,Informational_Duration
SpecialDay,Informational,Browser
VisitorType,ProductRelated,VisitorType
