shap,sofi,GAMINet
PageValues,ExitRates,PageValues
Month,VisitorType,Month
Administrative_Duration,ProductRelated_Duration,ExitRates
ExitRates,PageValues,Weekend
Administrative,Month,BounceRates
TrafficType,Region,OperatingSystems
BounceRates,OperatingSystems,ProductRelated
ProductRelated_Duration,Administrative_Duration,Browser
ProductRelated,Administrative,ProductRelated_Duration
Region,ProductRelated,Administrative
Informational,Browser,SpecialDay
OperatingSystems,Weekend,TrafficType
Browser,Informational,Region
Informational_Duration,SpecialDay,Administrative_Duration
Weekend,BounceRates,Informational
SpecialDay,Informational_Duration,Informational_Duration
VisitorType,TrafficType,VisitorType
