shap,sofi,GAMINet
a2pop,b1x,a2pop
a1pop,a3pop,a1pop
mxql,a2pop,b3call
a2sx,b2y,a3cx
a3rho,b2x,a3pop
a3pop,a1cy,a3sy
b1y,b3eff,mxql
a3sy,a2rho,b1x
b3call,a2sy,b1call
a3cx,b2eff,b3x
a1sx,b2call,a2sy
b1call,a1cx,a3cy
a3cy,a2cy,a3rho
b2eff,a3rho,a2rho
b3x,b1eff,b2eff
a2cx,b1call,a1cy
b1eff,a1sy,b1y
a1rho,a3sx,a1rho
a2sy,a3cy,b3y
a2cy,b3y,a1cx
a1cy,a1pop,a2cx
b3y,b3x,b1eff
b2y,a3cx,b2x
temp,mxql,temp
b1x,a1rho,a2sx
b3eff,b3call,a2cy
a3sx,a2sx,b2y
b2call,a2cx,b3eff
a2rho,b1y,a3sx
a1cx,temp,b2call
a1sy,a3sy,a1sx
b2x,a1sx,a1sy
