shap,sofi,GAMINet
a1pop,a3cx,a2pop
a2pop,a2cy,a1pop
mxql,a2sy,a3pop
a2cy,b2eff,a2sy
a3sy,a3sy,a3sx
a3pop,a1cy,mxql
a1cy,b1x,a1cy
a3sx,a1rho,a3sy
a1sx,b3y,b3call
b3x,b1call,a2cy
a2sy,b3x,a3cy
b3call,a1sx,temp
a1rho,b2x,b1x
b2y,b3call,b1call
a2cx,temp,b3x
b1eff,a2rho,b1y
temp,b3eff,b2x
a3cx,a1sy,a1rho
a3cy,a3sx,b1eff
b3y,mxql,a2sx
a3rho,b1eff,b2y
b1call,b2y,a2rho
b3eff,a3rho,a3cx
a2sx,b2call,a1cx
a2rho,a2cx,b3y
b1x,a3pop,b3eff
b2x,a3cy,a1sx
b1y,a1pop,b2eff
b2call,a2sx,a3rho
b2eff,b1y,a2cx
a1cx,a2pop,b2call
a1sy,a1cx,a1sy
