shap,sofi,GAMINet
a2pop,b2call,a2pop
a2sx,a3cx,a2sx
a2rho,b1eff,a3pop
a3pop,b3call,mxql
mxql,b1x,a1pop
a1pop,a1pop,a1sy
b3x,a3sx,a3cy
a2sy,b3y,a2sy
a1sx,a2cx,b1eff
a3cy,b2y,b3x
b1eff,a1sy,a2rho
b2eff,a1cx,b2call
b2call,a3pop,a1rho
a1sy,a1rho,a1cy
b3y,b1y,a2cx
a2cx,mxql,b3call
b1y,b3eff,a3cx
b1call,a1cy,a3rho
a1rho,b2x,b1call
a1cy,temp,b1y
a3cx,a3sy,temp
a3sx,a2rho,a3sx
b3call,a2cy,b2eff
b2x,a2sx,b3eff
b2y,a3rho,a1sx
b3eff,b2eff,b3y
b1x,a2pop,a1cx
a1cx,a2sy,b2y
a2cy,a3cy,b2x
a3rho,b3x,a2cy
temp,b1call,a3sy
a3sy,a1sx,b1x
