shap,sofi,GAMINet
a2pop,b3eff,a2pop
a2sy,a2cx,a1pop
a3pop,b3call,a3pop
a1pop,b2x,mxql
b1y,temp,a3cy
a3cy,a2cy,a2cx
a1cy,b3y,b1y
a3sx,a3cx,a3cx
b1eff,b3x,b3eff
b3eff,a1sy,b2y
b1x,b1eff,b1eff
b3x,a1cx,a2sy
b2x,a3rho,a1cy
mxql,a3sy,b1x
a3sy,b2y,b3call
a2cy,b1y,b3x
b2y,b1x,b2eff
a3cx,a1sx,a2cy
a2cx,mxql,temp
b3y,b2call,a3sx
a2rho,a3sx,a1cx
b3call,b2eff,a2rho
a1rho,a2rho,a3rho
b1call,a1pop,a3sy
b2call,a2sx,b1call
a3rho,a2pop,b3y
a1cx,b1call,a1rho
b2eff,a1rho,b2call
temp,a3pop,a1sy
a1sy,a3cy,a2sx
a1sx,a2sy,b2x
a2sx,a1cy,a1sx
