shap,sofi,GAMINet
a2pop,a2pop,a2pop
a1pop,a3sx,a1pop
b2call,a2sy,a3pop
a3pop,a1pop,b2call
a1sy,a3sy,a2sx
a2sx,a1cy,a1sy
a2sy,b1eff,mxql
a3sx,a3cy,b3call
a1sx,a2sx,b3x
mxql,a3rho,a3sx
a1cy,b2y,a3cx
a2cy,a1cx,a3cy
a3cx,a2cx,b2eff
b1y,b1y,b2y
b3y,a2rho,a2sy
b3call,b3eff,a1cy
a1rho,b3call,b1eff
b2y,a1sx,a3rho
b2x,a1rho,a2cy
b2eff,b3x,a2cx
a2rho,a2cy,b1y
b1eff,b3y,b2x
a3cy,b1x,temp
a1cx,b2x,a1sx
a3rho,a3cx,b3y
a2cx,a3pop,a1rho
b3x,b2call,b1call
temp,b1call,b3eff
b3eff,temp,a1cx
b1x,b2eff,b1x
a3sy,mxql,a2rho
b1call,a1sy,a3sy
