shap,sofi,GAMINet
PageValues,Informational_Duration,Informational_Duration
SpecialDay,SpecialDay,SpecialDay
Informational_Duration,ExitRates,PageValues
Informational,TrafficType,ProductRelated_Duration
Browser,Weekend,Informational
ExitRates,OperatingSystems,ExitRates
Region,BounceRates,ProductRelated
Weekend,Administrative_Duration,Browser
ProductRelated_Duration,Administrative,Region
Month,VisitorType,Administrative
ProductRelated,Region,VisitorType
BounceRates,ProductRelated_Duration,Month
TrafficType,PageValues,Weekend
Administrative,Browser,TrafficType
VisitorType,ProductRelated,OperatingSystems
OperatingSystems,Month,BounceRates
Administrative_Duration,Informational,Administrative_Duration
