shap,sofi,GAMINet
Weekend,VisitorType,PageValues
PageValues,SpecialDay,ProductRelated_Duration
ProductRelated_Duration,ProductRelated,ExitRates
SpecialDay,OperatingSystems,Weekend
Informational_Duration,Administrative_Duration,ProductRelated
ExitRates,ProductRelated_Duration,TrafficType
TrafficType,Weekend,Browser
Browser,Informational,Region
Informational,Administrative,Month
ProductRelated,Browser,VisitorType
Month,BounceRates,SpecialDay
Administrative,ExitRates,Administrative
BounceRates,Month,Informational
VisitorType,Region,BounceRates
Region,PageValues,OperatingSystems
Administrative_Duration,TrafficType,Informational_Duration
OperatingSystems,Informational_Duration,Administrative_Duration
