shap,sofi,GAMINet
PageValues,ProductRelated,PageValues
Weekend,VisitorType,Informational_Duration
Informational_Duration,OperatingSystems,ProductRelated
BounceRates,PageValues,ExitRates
SpecialDay,TrafficType,Region
Informational,Informational_Duration,Weekend
ExitRates,Region,SpecialDay
ProductRelated,Administrative_Duration,Informational
Month,Administrative,Administrative_Duration
Administrative,Weekend,BounceRates
Browser,Browser,ProductRelated_Duration
ProductRelated_Duration,ProductRelated_Duration,Administrative
Administrative_Duration,Month,TrafficType
OperatingSystems,ExitRates,Browser
VisitorType,SpecialDay,OperatingSystems
TrafficType,BounceRates,VisitorType
Region,Informational,Month
