shap,sofi,GAMINet
PageValues,SpecialDay,SpecialDay
Weekend,Informational,Weekend
SpecialDay,TrafficType,Administrative
BounceRates,Informational_Duration,PageValues
Informational_Duration,Browser,ExitRates
ExitRates,Weekend,BounceRates
Informational,BounceRates,ProductRelated
Region,Administrative_Duration,Region
Month,Administrative,Informational_Duration
Administrative,Month,Informational
Administrative_Duration,ProductRelated,VisitorType
Browser,OperatingSystems,ProductRelated_Duration
VisitorType,VisitorType,Month
ProductRelated_Duration,ProductRelated_Duration,TrafficType
ProductRelated,ExitRates,Browser
OperatingSystems,Region,OperatingSystems
TrafficType,PageValues,Administrative_Duration
