shap,sofi,GAMINet
coefficient6,coefficient2,coefficient6
coefficient1,coefficient11,coefficient8
coefficient7,frame,utterance
utterance,coefficient9,coefficient3
coefficient3,coefficient1,coefficient12
coefficient2,coefficient4,coefficient9
coefficient9,coefficient10,coefficient1
coefficient8,utterance,coefficient4
coefficient10,coefficient6,coefficient2
coefficient5,coefficient3,coefficient7
coefficient4,coefficient5,coefficient5
coefficient12,coefficient8,coefficient11
frame,coefficient12,coefficient10
coefficient11,coefficient7,frame
