shap,sofi,GAMINet
coefficient6,coefficient3,coefficient6
coefficient1,coefficient12,coefficient8
coefficient7,frame,coefficient3
utterance,coefficient11,coefficient9
coefficient3,coefficient1,coefficient5
coefficient2,coefficient6,coefficient12
coefficient9,coefficient9,utterance
coefficient10,utterance,coefficient1
coefficient8,coefficient7,coefficient2
coefficient5,coefficient2,coefficient4
coefficient12,coefficient4,coefficient7
coefficient4,coefficient8,coefficient11
coefficient11,coefficient10,frame
frame,coefficient5,coefficient10
