shap,sofi,GAMINet
coefficient6,coefficient2,coefficient6
coefficient1,coefficient12,coefficient8
coefficient7,frame,coefficient3
utterance,coefficient10,utterance
coefficient3,coefficient5,coefficient1
coefficient2,coefficient3,coefficient9
coefficient9,coefficient9,coefficient12
coefficient10,utterance,coefficient4
coefficient8,coefficient7,coefficient2
coefficient5,coefficient4,coefficient7
coefficient4,coefficient1,coefficient5
coefficient12,coefficient8,coefficient11
frame,coefficient11,frame
coefficient11,coefficient6,coefficient10
