a1cx,a1cy,a1sx,a1sy,a1rho,a1pop,a2cx,a2cy,a2sx,a2sy,a2rho,a2pop,a3cx,a3cy,a3sx,a3sy,a3rho,a3pop,temp,b1x,b1y,b1call,b1eff,b2x,b2y,b2call,b2eff,b3x,b3y,b3call,b3eff,mxql,class
-0.960082,0.838571,0.91448,1.199377,0.279578,3.123848,0.698297,-0.604648,2.182415,0.436354,-0.008895,1.959236,-0.83039,-0.188474,0.452178,0.423608,0.074048,2.324482,0.183623,-0.035976,-0.335016,2.0,1.401349,0.544453,0.444869,3.0,1.007497,0.791378,0.060542,4.0,0.821005,9.0,0
-0.765984,0.33666,0.224512,0.472485,0.143508,1.305199,0.084529,0.75133,1.853321,0.041868,-0.069148,1.271744,0.222572,-0.768665,0.806347,0.82458,0.105922,1.341442,0.506708,0.629477,0.482738,6.0,1.092783,0.038677,-0.588083,3.0,1.586503,-0.256856,0.33026,6.0,1.423708,7.0,0
0.795619,0.069003,4.055477,0.608602,-0.15969,0.157973,0.401026,-0.357173,0.873371,1.432216,-0.385233,5.935517,-0.54265,-0.365514,0.047192,0.487369,0.364054,1.278903,0.291619,0.785353,-0.63208,8.0,1.631787,0.573811,-0.794177,2.0,1.617036,0.798275,-0.528381,4.0,1.396041,9.0,0
0.888172,-0.747092,0.93813,0.019207,-0.013385,1.682064,0.21107,0.155748,0.159885,0.476709,0.046835,0.502027,-0.562995,-0.056967,1.034646,0.715719,0.403879,0.00133,0.507045,-0.523402,0.403455,5.0,1.714307,0.236801,-0.097584,3.0,1.174212,0.573317,-0.804624,6.0,0.827557,8.0,0
-0.568532,-0.797602,2.386391,1.130324,0.222,8.946528,0.327566,-0.401971,0.506128,0.50133,0.410764,0.471029,0.889602,0.446612,0.278013,2.270611,-0.447151,0.766915,0.688063,0.567639,-0.606479,2.0,1.248898,0.051513,0.08563,6.0,1.961265,-0.236069,-0.960162,7.0,0.678938,8.0,0
0.089098,-0.942903,0.86828,0.681897,0.070811,0.197769,-0.789708,0.807057,0.67903,0.844567,-0.379085,3.966856,-0.196839,-0.224377,0.040483,1.447234,0.474319,0.86728,0.704791,0.781184,-0.528506,7.0,1.235477,0.328355,-0.55772,8.0,1.04493,0.156716,-0.559145,3.0,1.250081,9.0,0
-0.236178,-0.532579,0.380157,2.321871,0.302127,1.08162,0.381363,0.875604,0.523673,0.018522,-0.019998,0.734905,0.808957,0.619627,0.862821,0.541778,-0.408941,2.376667,0.35786,-0.964869,0.715738,3.0,0.940335,-0.110083,-0.757988,3.0,1.959307,-0.885976,-0.793952,4.0,1.650006,6.0,0
-0.678332,-0.698273,1.279565,0.400626,-0.171934,0.092544,0.117623,-0.480414,0.84906,0.88389,0.294295,0.852842,-0.484186,-0.765069,0.822028,0.514531,-0.246892,3.864894,0.299837,-0.798696,0.257798,3.0,0.512554,0.760363,0.3363,4.0,1.578356,0.628668,0.784831,2.0,0.643167,7.0,0
-0.063962,-0.494412,0.597527,0.623657,0.060433,0.283408,0.116387,-0.840734,4.313055,1.261619,0.432455,1.320646,-0.858346,0.379457,2.123476,0.377901,-0.017097,0.795293,0.735462,-0.156797,0.12021,4.0,1.624983,-0.192661,0.734547,3.0,1.349092,0.606084,-0.050483,3.0,0.616687,5.0,0
-0.730551,-0.987664,0.2217,0.620465,0.09582,0.502217,-0.178119,0.203049,0.724165,1.361382,0.051506,17.521878,0.657732,0.4454,0.441015,0.668709,0.312089,7.042473,0.343763,-0.123579,0.788626,5.0,0.857592,0.74213,0.121494,3.0,1.899086,-0.655722,0.433704,2.0,0.785637,6.0,1
