shap,sofi,GAMINet
coefficient6,coefficient10,coefficient6
coefficient1,coefficient4,coefficient3
coefficient3,utterance,coefficient1
coefficient9,coefficient5,utterance
coefficient7,coefficient3,coefficient7
utterance,coefficient11,coefficient9
coefficient8,coefficient7,coefficient8
frame,frame,coefficient4
coefficient2,coefficient2,coefficient12
coefficient4,coefficient12,coefficient2
coefficient5,coefficient1,coefficient11
coefficient10,coefficient6,frame
coefficient12,coefficient8,coefficient10
coefficient11,coefficient9,coefficient5
