shap,sofi,GAMINet
coefficient6,coefficient6,coefficient6
utterance,coefficient5,utterance
coefficient3,coefficient1,coefficient3
coefficient1,coefficient12,frame
frame,coefficient2,coefficient8
coefficient7,coefficient3,coefficient1
coefficient2,coefficient9,coefficient7
coefficient8,utterance,coefficient9
coefficient12,frame,coefficient5
coefficient9,coefficient8,coefficient2
coefficient4,coefficient4,coefficient4
coefficient5,coefficient10,coefficient12
coefficient10,coefficient11,coefficient10
coefficient11,coefficient7,coefficient11
