utterance,frame,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,coefficient6,coefficient7,coefficient8,coefficient9,coefficient10,coefficient11,coefficient12,class
30.0,7.0,1.504959,-0.980107,0.491495,-0.288554,-0.08904,-0.166141,0.052588,-0.085489,-0.538262,-0.205292,-0.024444,0.12213,0
11.0,2.0,0.453363,-0.341712,0.222406,-0.415363,0.284311,-0.225532,-0.098502,0.020227,-0.354424,-0.269377,0.119023,0.165803,0
38.0,20.0,0.388116,-0.880498,0.421313,-0.024526,0.501616,-0.148685,-0.268683,-0.270098,-0.090191,-0.149111,-0.155704,0.138491,0
29.0,6.0,1.273056,-0.41261,0.022741,-0.329668,0.124095,-0.412164,0.143246,0.043805,-0.206256,-0.094194,-0.04231,0.414377,0
15.0,9.0,1.062246,-0.248442,0.394744,0.142428,0.325677,-0.087827,-0.043432,-0.420459,-0.007272,-0.267961,-0.161362,0.279468,0
25.0,11.0,0.356106,-0.828494,0.346058,-0.576516,0.42029,-0.098172,-0.281113,-0.028825,-0.423775,-0.252974,-0.051781,0.141364,0
15.0,5.0,0.41426,-0.419491,0.094217,-0.526196,0.400553,-0.336559,-0.183587,-0.076013,-0.283798,-0.194476,-0.01238,0.321145,1
34.0,6.0,1.048246,-0.841731,0.207537,-0.566449,0.273492,-0.142913,-0.294295,0.083475,-0.251017,-0.336836,-0.083581,0.178069,0
10.0,8.0,1.032692,-1.014263,0.597096,-0.40763,-0.34398,-0.116716,0.260073,-0.186568,-0.486294,-0.064508,-0.118469,0.083871,0
29.0,3.0,1.003736,0.09095,-0.169781,-0.372479,-0.020165,-0.456719,0.068444,0.076549,-0.268835,-0.308155,0.089002,0.149893,0
19.0,8.0,0.226874,-0.812343,0.22765,-0.54113,0.422397,-0.283203,-0.296293,0.084259,-0.346409,-0.334839,-0.025511,0.250893,0
28.0,9.0,0.429319,-0.961157,0.27055,-0.587991,0.299461,-0.22431,-0.269899,0.060077,-0.317669,-0.293787,-0.038969,0.285586,0
18.0,8.0,0.285861,-0.929441,0.335421,-0.229672,0.613977,-0.449227,-0.407749,-0.053975,-0.435191,-0.030324,0.00972,-0.017734,0
17.0,10.0,1.231321,-0.964072,0.715917,0.085806,0.277358,0.213157,-0.46491,-0.251291,-0.033184,-0.205472,-0.040164,0.022501,0
24.0,12.0,1.025527,-1.029632,0.536819,-0.266319,0.014046,-0.116003,0.03693,-0.123783,-0.579091,-0.130844,0.057023,0.061891,0
