shap,sofi,GAMINet
PageValues,ProductRelated_Duration,PageValues
Month,TrafficType,Month
Administrative_Duration,Administrative,ExitRates
ExitRates,Informational,Region
Administrative,SpecialDay,BounceRates
ProductRelated_Duration,OperatingSystems,Browser
BounceRates,PageValues,ProductRelated
TrafficType,Informational_Duration,OperatingSystems
ProductRelated,Administrative_Duration,TrafficType
Region,VisitorType,Administrative
Informational,Month,Weekend
Browser,BounceRates,SpecialDay
Informational_Duration,Browser,ProductRelated_Duration
OperatingSystems,Region,Administrative_Duration
SpecialDay,ProductRelated,Informational_Duration
Weekend,Weekend,Informational
VisitorType,ExitRates,VisitorType
