shap,sofi,GAMINet
PageValues,Administrative_Duration,PageValues
Month,ProductRelated_Duration,Month
Administrative_Duration,PageValues,ExitRates
ExitRates,Informational,BounceRates
Administrative,BounceRates,ProductRelated_Duration
ProductRelated_Duration,Region,Region
BounceRates,Browser,OperatingSystems
TrafficType,ProductRelated,ProductRelated
ProductRelated,OperatingSystems,Weekend
Region,Administrative,TrafficType
OperatingSystems,Month,Administrative
Informational,TrafficType,Browser
Browser,Weekend,SpecialDay
Informational_Duration,ExitRates,Administrative_Duration
Weekend,VisitorType,Informational
SpecialDay,SpecialDay,Informational_Duration
VisitorType,Informational_Duration,VisitorType
