shap,sofi,GAMINet
coefficient6,coefficient1,coefficient6
coefficient7,coefficient12,utterance
coefficient1,frame,coefficient8
utterance,coefficient4,coefficient1
coefficient3,coefficient3,coefficient3
coefficient2,coefficient5,coefficient9
coefficient9,coefficient10,coefficient12
coefficient10,utterance,coefficient4
coefficient8,coefficient6,coefficient2
coefficient5,coefficient9,coefficient7
coefficient4,coefficient2,coefficient5
frame,coefficient8,frame
coefficient12,coefficient11,coefficient11
coefficient11,coefficient7,coefficient10
