shap,sofi,GAMINet
coefficient6,coefficient1,coefficient6
coefficient1,coefficient10,coefficient8
coefficient7,frame,utterance
utterance,coefficient9,coefficient3
coefficient3,coefficient4,coefficient1
coefficient2,coefficient3,coefficient9
coefficient9,coefficient7,coefficient12
coefficient10,utterance,coefficient7
coefficient8,coefficient8,coefficient2
coefficient5,coefficient5,coefficient4
coefficient4,coefficient2,coefficient5
frame,coefficient12,frame
coefficient11,coefficient11,coefficient11
coefficient12,coefficient6,coefficient10
