shap,sofi,GAMINet
ProductRelated,Informational_Duration,ProductRelated
PageValues,ExitRates,PageValues
Administrative,PageValues,ExitRates
ExitRates,ProductRelated,BounceRates
ProductRelated_Duration,Region,SpecialDay
SpecialDay,Administrative_Duration,Administrative
Informational_Duration,VisitorType,Informational_Duration
Administrative_Duration,TrafficType,Administrative_Duration
Informational,Weekend,Informational
Month,Administrative,ProductRelated_Duration
Browser,Month,Browser
TrafficType,SpecialDay,OperatingSystems
BounceRates,ProductRelated_Duration,Month
Region,Informational,TrafficType
OperatingSystems,Browser,Region
VisitorType,BounceRates,VisitorType
Weekend,OperatingSystems,Weekend
