shap,sofi,GAMINet
PageValues,Administrative,PageValues
ProductRelated,ExitRates,Informational
ProductRelated_Duration,ProductRelated,SpecialDay
SpecialDay,TrafficType,ExitRates
Informational,BounceRates,ProductRelated
Informational_Duration,VisitorType,Administrative
Administrative,Weekend,BounceRates
ExitRates,Informational_Duration,Browser
Region,Region,Administrative_Duration
Administrative_Duration,Administrative_Duration,Informational_Duration
Month,Month,Region
Browser,ProductRelated_Duration,TrafficType
BounceRates,Browser,OperatingSystems
TrafficType,PageValues,Month
OperatingSystems,SpecialDay,VisitorType
VisitorType,Informational,ProductRelated_Duration
Weekend,OperatingSystems,Weekend
