shap,sofi,GAMINet
ProductRelated,ProductRelated,PageValues
PageValues,Informational_Duration,SpecialDay
SpecialDay,Region,Administrative_Duration
ProductRelated_Duration,ExitRates,Browser
ExitRates,PageValues,Informational_Duration
Region,Administrative,ProductRelated_Duration
BounceRates,Browser,TrafficType
TrafficType,Informational,ExitRates
Administrative_Duration,BounceRates,ProductRelated
Browser,SpecialDay,Month
Administrative,Month,Region
Informational_Duration,VisitorType,Informational
Month,TrafficType,Administrative
Informational,Weekend,BounceRates
OperatingSystems,OperatingSystems,VisitorType
VisitorType,Administrative_Duration,OperatingSystems
Weekend,ProductRelated_Duration,Weekend
