feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,Class
13.0,88.0,60.0,100.0,100.0,86.0,64.0,59.0,72.0,42.0,98.0,17.0,50.0,3.0,0.0,0.0,0
44.0,89.0,85.0,100.0,88.0,75.0,64.0,56.0,100.0,41.0,82.0,12.0,41.0,0.0,0.0,14.0,0
11.0,80.0,37.0,100.0,83.0,89.0,50.0,65.0,100.0,54.0,97.0,24.0,54.0,4.0,0.0,0.0,0
67.0,79.0,33.0,62.0,100.0,30.0,71.0,0.0,43.0,32.0,87.0,68.0,93.0,100.0,0.0,79.0,0
67.0,100.0,22.0,81.0,0.0,46.0,12.0,11.0,64.0,0.0,100.0,27.0,94.0,63.0,77.0,99.0,0
83.0,66.0,46.0,100.0,0.0,73.0,37.0,46.0,81.0,78.0,100.0,34.0,64.0,0.0,6.0,3.0,0
1.0,91.0,44.0,100.0,75.0,81.0,39.0,57.0,3.0,34.0,0.0,7.0,50.0,0.0,100.0,2.0,0
62.0,81.0,100.0,100.0,84.0,91.0,40.0,76.0,67.0,64.0,83.0,26.0,46.0,0.0,0.0,9.0,1
83.0,100.0,14.0,75.0,0.0,42.0,97.0,44.0,100.0,67.0,64.0,81.0,60.0,40.0,58.0,0.0,0
10.0,76.0,39.0,100.0,88.0,87.0,55.0,62.0,100.0,43.0,98.0,13.0,43.0,0.0,0.0,8.0,0
85.0,98.0,17.0,99.0,21.0,61.0,66.0,23.0,15.0,0.0,0.0,35.0,61.0,68.0,100.0,100.0,0
100.0,100.0,53.0,99.0,15.0,61.0,10.0,16.0,66.0,0.0,99.0,32.0,42.0,45.0,0.0,20.0,0
37.0,80.0,81.0,100.0,95.0,70.0,68.0,39.0,32.0,11.0,0.0,10.0,48.0,17.0,100.0,0.0,0
83.0,95.0,0.0,86.0,56.0,49.0,100.0,13.0,17.0,0.0,48.0,40.0,99.0,79.0,37.0,100.0,0
0.0,97.0,28.0,78.0,100.0,95.0,16.0,100.0,1.0,81.0,80.0,64.0,53.0,25.0,11.0,0.0,0
53.0,80.0,78.0,100.0,14.0,80.0,55.0,65.0,92.0,64.0,100.0,24.0,50.0,0.0,0.0,20.0,0
0.0,100.0,45.0,92.0,100.0,78.0,67.0,39.0,31.0,1.0,10.0,0.0,27.0,28.0,93.0,34.0,0
90.0,100.0,58.0,88.0,23.0,56.0,16.0,17.0,66.0,0.0,100.0,27.0,58.0,54.0,0.0,43.0,0
0.0,81.0,34.0,100.0,68.0,83.0,56.0,52.0,24.0,29.0,16.0,20.0,64.0,17.0,100.0,0.0,0
67.0,100.0,18.0,81.0,44.0,39.0,35.0,0.0,0.0,28.0,53.0,57.0,100.0,88.0,42.0,94.0,0
75.0,77.0,65.0,100.0,0.0,83.0,30.0,62.0,99.0,78.0,100.0,47.0,74.0,17.0,10.0,0.0,0
55.0,100.0,27.0,94.0,5.0,56.0,8.0,18.0,59.0,0.0,100.0,23.0,45.0,31.0,0.0,8.0,0
89.0,100.0,40.0,79.0,0.0,42.0,69.0,38.0,100.0,59.0,74.0,87.0,69.0,43.0,68.0,0.0,0
0.0,57.0,50.0,74.0,82.0,97.0,100.0,100.0,89.0,75.0,75.0,50.0,64.0,25.0,61.0,0.0,0
100.0,84.0,63.0,100.0,39.0,67.0,86.0,70.0,93.0,71.0,85.0,33.0,58.0,0.0,0.0,2.0,0
