fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,Target
71.8727,24.8056,3.4833,0.1817,0.0932,15.5848,77.4821,8.9195,5.923,197.859,0
69.9392,60.9196,2.9919,0.3026,0.1584,-73.5723,52.3536,39.0827,66.0965,212.728,1
36.7473,20.8996,3.03,0.265,0.1395,41.3969,25.5135,-10.9017,10.7848,161.616,0
20.2358,7.1978,2.1089,0.7549,0.3774,3.9409,-11.5931,-5.4469,7.1029,81.5759,0
43.2532,15.6787,2.7135,0.352,0.177,-39.8043,25.5152,-12.8025,5.1857,148.147,0
83.4741,27.0623,3.2782,0.2382,0.1547,3.1753,61.0996,12.7682,2.2974,344.005,0
97.1493,34.31,3.8354,0.1451,0.079,48.5029,81.9049,-23.8441,1.94,334.315,0
39.2624,15.3924,2.8469,0.4039,0.2022,2.5699,-28.4833,-3.0056,69.966,239.6796,1
77.6784,25.6998,3.6576,0.2206,0.1149,32.4617,61.8591,-20.2988,1.592,270.04,0
23.2473,18.4047,2.6839,0.4286,0.2764,-9.8798,10.6638,-10.2722,34.217,75.377,0
33.2019,13.4598,2.9467,0.3663,0.1848,-20.1814,-18.4191,6.8355,5.201,138.779,0
69.4048,31.3935,3.5099,0.1833,0.0923,52.7626,75.361,-17.7657,1.9954,159.731,0
23.5163,16.9829,2.6138,0.3479,0.1934,-6.5569,-13.7752,-4.7431,9.074,203.342,0
50.0412,22.0004,2.9715,0.2072,0.1148,-0.5484,44.8267,16.6204,30.836,50.6282,0
44.5463,21.0153,2.9263,0.2073,0.1049,-0.3109,36.8902,7.7348,4.501,129.148,0
36.7182,17.8838,2.8035,0.305,0.158,10.2902,36.999,-10.8605,6.35,68.576,0
32.7861,17.9806,2.356,0.4053,0.2137,-27.1037,-25.4106,14.6214,29.924,217.15,0
77.1621,30.2821,3.4572,0.1309,0.0689,-96.9012,58.3096,25.5367,11.476,242.005,0
28.2866,6.7738,2.1959,0.586,0.2962,-7.1484,-17.522,1.2828,36.5127,274.118,0
66.9638,27.4333,3.2438,0.2259,0.1195,-59.8012,40.1941,-5.8131,2.258,300.6,0
78.0294,26.5101,3.2696,0.1924,0.1045,59.6288,52.276,-23.5879,0.4823,246.387,0
51.2161,23.5687,2.7156,0.2907,0.1761,-86.5928,37.2872,-22.0663,22.5804,282.004,0
12.9926,10.8059,2.1156,0.751,0.4789,13.52,-5.3597,7.3802,32.917,221.664,0
28.0763,11.5446,2.5387,0.5941,0.3546,-18.8584,-13.3586,15.6492,66.6388,203.8629,1
41.6067,10.5486,2.4639,0.4364,0.2251,-7.2166,-31.2745,-5.2903,8.17,124.73,0
35.9412,8.4467,2.7177,0.454,0.2423,-6.5336,-11.1451,1.422,30.606,228.311,1
82.8578,23.9783,2.9814,0.2296,0.1216,-34.4227,66.484,16.1363,3.3652,306.276,0
18.1621,17.0217,2.4495,0.4902,0.2682,-6.2436,17.1801,-8.8036,56.812,206.629,0
32.8254,19.3483,2.7892,0.3038,0.1649,13.5131,-12.1285,10.2888,37.525,177.184,0
28.7649,8.2457,2.2553,0.6056,0.3472,30.6864,22.0444,-6.6302,11.0535,135.396,0
35.2264,19.8659,3.099,0.2978,0.1596,38.1918,21.48,-11.4725,15.103,228.711,0
58.6289,24.0694,3.2105,0.1509,0.0785,60.4266,21.5231,-8.1682,2.2837,198.016,0
27.5042,17.6334,2.4541,0.3445,0.174,-6.0405,7.7084,-16.0424,31.28,159.278,0
